ProductKey,ProductSubcategoryKey,ProductSKU,ProductName,ModelName,ProductDescription,ProductColor,ProductStyle,ProductCost,ProductPrice,DiscountPrice,SKUType,SKUCategory,PricePoint
346,1,BK-M82S-44,"Mountain-100 Silver, 44",Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",Silver,U,1912.15,3399.99,2889.99,BK-M82S,BK,High
347,1,BK-M82S-48,"Mountain-100 Silver, 48",Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",Silver,U,1912.15,3399.99,2889.99,BK-M82S,BK,High
348,1,BK-M82B-38,"Mountain-100 Black, 38",Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",Black,U,1898.09,3374.99,2868.74,BK-M82B,BK,High
349,1,BK-M82B-42,"Mountain-100 Black, 42",Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",Black,U,1898.09,3374.99,2868.74,BK-M82B,BK,High
350,1,BK-M82B-44,"Mountain-100 Black, 44",Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",Black,U,1898.09,3374.99,2868.74,BK-M82B,BK,High
351,1,BK-M82B-48,"Mountain-100 Black, 48",Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",Black,U,1898.09,3374.99,2868.74,BK-M82B,BK,High
352,1,BK-M68S-38,"Mountain-200 Silver, 38",Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Silver,U,1117.86,2071.42,1760.71,BK-M68S,BK,High
354,1,BK-M68S-42,"Mountain-200 Silver, 42",Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Silver,U,1117.86,2071.42,1760.71,BK-M68S,BK,High
356,1,BK-M68S-46,"Mountain-200 Silver, 46",Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Silver,U,1117.86,2071.42,1760.71,BK-M68S,BK,High
358,1,BK-M68B-38,"Mountain-200 Black, 38",Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Black,U,1105.81,2049.1,1741.73,BK-M68B,BK,High
360,1,BK-M68B-42,"Mountain-200 Black, 42",Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Black,U,1105.81,2049.1,1741.73,BK-M68B,BK,High
362,1,BK-M68B-46,"Mountain-200 Black, 46",Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Black,U,1105.81,2049.1,1741.73,BK-M68B,BK,High
364,1,BK-M47B-38,"Mountain-300 Black, 38",Mountain-300,For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.,Black,U,598.44,1079.99,917.99,BK-M47B,BK,High
365,1,BK-M47B-40,"Mountain-300 Black, 40",Mountain-300,For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.,Black,U,598.44,1079.99,917.99,BK-M47B,BK,High
366,1,BK-M47B-44,"Mountain-300 Black, 44",Mountain-300,For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.,Black,U,598.44,1079.99,917.99,BK-M47B,BK,High
367,1,BK-M47B-48,"Mountain-300 Black, 48",Mountain-300,For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.,Black,U,598.44,1079.99,917.99,BK-M47B,BK,High
368,2,BK-R89R-44,"Road-250 Red, 44",Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",Red,U,1518.79,2443.35,2076.85,BK-R89R,BK,High
369,2,BK-R89R-48,"Road-250 Red, 48",Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",Red,U,1518.79,2443.35,2076.85,BK-R89R,BK,High
370,2,BK-R89R-52,"Road-250 Red, 52",Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",Red,U,1518.79,2443.35,2076.85,BK-R89R,BK,High
371,2,BK-R89R-58,"Road-250 Red, 58",Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",Red,U,1320.68,2181.56,1854.33,BK-R89R,BK,High
373,2,BK-R89B-44,"Road-250 Black, 44",Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",Black,U,1320.68,2181.56,1854.33,BK-R89B,BK,High
375,2,BK-R89B-48,"Road-250 Black, 48",Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",Black,U,1320.68,2181.56,1854.33,BK-R89B,BK,High
377,2,BK-R89B-52,"Road-250 Black, 52",Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",Black,U,1320.68,2181.56,1854.33,BK-R89B,BK,High
379,2,BK-R89B-58,"Road-250 Black, 58",Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",Black,U,1320.68,2181.56,1854.33,BK-R89B,BK,High
381,2,BK-R64Y-38,"Road-550-W Yellow, 38",Road-550-W,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",Yellow,W,605.65,1000.44,850.37,BK-R64Y,BK,High
383,2,BK-R64Y-40,"Road-550-W Yellow, 40",Road-550-W,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",Yellow,W,605.65,1000.44,850.37,BK-R64Y,BK,High
385,2,BK-R64Y-42,"Road-550-W Yellow, 42",Road-550-W,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",Yellow,W,605.65,1000.44,850.37,BK-R64Y,BK,High
387,2,BK-R64Y-44,"Road-550-W Yellow, 44",Road-550-W,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",Yellow,W,605.65,1000.44,850.37,BK-R64Y,BK,High
389,2,BK-R64Y-48,"Road-550-W Yellow, 48",Road-550-W,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",Yellow,W,605.65,1000.44,850.37,BK-R64Y,BK,High
391,10,FK-1639,LL Fork,LL Fork,Stout design absorbs shock and offers more precise steering.,,,65.81,148.22,125.99,FK-1639,FK,Mid-Range
392,10,FK-5136,ML Fork,ML Fork,Composite road fork with an aluminum steerer tube.,,,77.92,175.49,149.17,FK-5136,FK,Mid-Range
393,10,FK-9939,HL Fork,HL Fork,High-performance carbon road fork with curved legs.,,,101.89,229.49,195.07,FK-9939,FK,Mid-Range
394,11,HS-0296,LL Headset,LL Headset,Threadless headset provides quality at an economical price.,,,15.18,34.2,29.07,HS-0296,HS,Low
395,11,HS-2451,ML Headset,ML Headset,Sealed cartridge keeps dirt out.,,,45.42,102.29,86.95,HS-2451,HS,Mid-Range
396,11,HS-3479,HL Headset,HL Headset,"High-quality 1"" threadless headset with a grease port for quick lubrication.",,,55.38,124.73,106.02,HS-3479,HS,Mid-Range
397,4,HB-M243,LL Mountain Handlebars,LL Mountain Handlebars,All-purpose bar for on or off-road.,,,17.98,40.49,34.42,HB-M243,HB,Low
399,4,HB-M763,ML Mountain Handlebars,ML Mountain Handlebars,Tough aluminum alloy bars for downhill.,,,24.99,56.29,47.85,HB-M763,HB,Low
401,4,HB-M918,HL Mountain Handlebars,HL Mountain Handlebars,Flat bar strong enough for the pro circuit.,,,48.55,109.34,92.94,HB-M918,HB,Mid-Range
403,4,HB-R504,LL Road Handlebars,LL Road Handlebars,Unique shape provides easier reach to the levers.,,,17.98,40.49,34.42,HB-R504,HB,Low
405,4,HB-R720,ML Road Handlebars,ML Road Handlebars,Anatomically shaped aluminum tube bar will suit all riders.,,,24.99,56.29,47.85,HB-R720,HB,Low
407,4,HB-R956,HL Road Handlebars,HL Road Handlebars,Designed for racers; high-end anatomically shaped bar from aluminum alloy.,,,48.55,109.34,92.94,HB-R956,HB,Mid-Range
409,12,FR-M63B-38,"ML Mountain Frame - Black, 38",ML Mountain Frame-W,The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Men's version.,Black,U,185.82,348.76,296.45,FR-M63B,FR,Mid-Range
410,17,FW-M423,LL Mountain Front Wheel,LL Mountain Front Wheel,Replacement mountain wheel for entry-level rider.,Black,,26.97,60.74,51.63,FW-M423,FW,Low
411,17,FW-M762,ML Mountain Front Wheel,ML Mountain Front Wheel,Replacement mountain wheel for the casual to serious rider.,Black,,92.81,209.02,177.67,FW-M762,FW,Mid-Range
412,17,FW-M928,HL Mountain Front Wheel,HL Mountain Front Wheel,High-performance mountain replacement wheel.,Black,,133.3,300.21,255.18,FW-M928,FW,Mid-Range
413,17,FW-R623,LL Road Front Wheel,LL Road Front Wheel,Replacement road front wheel for entry-level cyclist.,Black,,37.99,85.56,72.73,FW-R623,FW,Low
414,17,FW-R762,ML Road Front Wheel,ML Road Front Wheel,Sturdy alloy features a quick-release hub.,Black,,110.28,248.38,211.13,FW-R762,FW,Mid-Range
415,17,FW-R820,HL Road Front Wheel,HL Road Front Wheel,Strong wheel with double-walled rim.,Black,,146.55,330.06,280.55,FW-R820,FW,Mid-Range
416,17,FW-T905,Touring Front Wheel,Touring Front Wheel,Aerodynamic rims for smooth riding.,Black,,96.8,218.01,185.31,FW-T905,FW,Mid-Range
417,14,FR-R72Y-38,"ML Road Frame-W - Yellow, 38",ML Road Frame-W,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.",Yellow,W,300.12,540.75,459.64,FR-R72Y,FR,High
419,17,RW-M423,LL Mountain Rear Wheel,LL Mountain Rear Wheel,Replacement mountain wheel for entry-level rider.,Black,,38.96,87.74,74.58,RW-M423,RW,Low
420,17,RW-M762,ML Mountain Rear Wheel,ML Mountain Rear Wheel,Replacement mountain wheel for the casual to serious rider.,Black,,104.8,236.02,200.62,RW-M762,RW,Mid-Range
421,17,RW-M928,HL Mountain Rear Wheel,HL Mountain Rear Wheel,High-performance mountain replacement wheel.,Black,,145.28,327.21,278.13,RW-M928,RW,Mid-Range
422,17,RW-R623,LL Road Rear Wheel,LL Road Rear Wheel,Replacement road rear wheel for entry-level cyclist.,Black,,49.98,112.56,95.68,RW-R623,RW,Mid-Range
423,17,RW-R762,ML Road Rear Wheel,ML Road Rear Wheel,Aluminum alloy rim with stainless steel spokes; built for speed.,Black,,122.27,275.38,234.08,RW-R762,RW,Mid-Range
424,17,RW-R820,HL Road Rear Wheel,HL Road Rear Wheel,Strong rear wheel with double-walled rim.,Black,,158.53,357.06,303.5,RW-R820,RW,Mid-Range
425,17,RW-T905,Touring Rear Wheel,Touring Rear Wheel,Excellent aerodynamic rims guarantee a smooth ride.,Black,,108.78,245.01,208.26,RW-T905,RW,Mid-Range
426,12,FR-M63B-40,"ML Mountain Frame - Black, 40",ML Mountain Frame,The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Women's version.,Black,U,185.82,348.76,296.45,FR-M63B,FR,Mid-Range
427,12,FR-M63B-44,"ML Mountain Frame - Black, 44",ML Mountain Frame,The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Women's version.,Black,U,185.82,348.76,296.45,FR-M63B,FR,Mid-Range
