ProductKey,ProductSubcategoryKey,ProductSKU,ProductName,ModelName,ProductDescription,ProductColor,ProductStyle,ProductCost,ProductPrice,DiscountPrice
256,14,FR-R38B-60,"LL Road Frame - Black, 60",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Black,U,176.2,297.63,267.87
259,14,FR-R38B-62,"LL Road Frame - Black, 62",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Black,U,176.2,297.63,267.87
262,14,FR-R38R-44,"LL Road Frame - Red, 44",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Red,U,181.49,306.56,275.91
264,14,FR-R38R-48,"LL Road Frame - Red, 48",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Red,U,181.49,306.56,275.91
266,14,FR-R38R-52,"LL Road Frame - Red, 52",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Red,U,181.49,306.56,275.91
268,14,FR-R38R-58,"LL Road Frame - Red, 58",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Red,U,181.49,306.56,275.91
270,14,FR-R38R-60,"LL Road Frame - Red, 60",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Red,U,181.49,306.56,275.91
272,14,FR-R38R-62,"LL Road Frame - Red, 62",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Red,U,181.49,306.56,275.91
274,14,FR-R72R-44,"ML Road Frame - Red, 44",ML Road Frame,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",Red,U,352.14,594.83,535.35
275,14,FR-R72R-48,"ML Road Frame - Red, 48",ML Road Frame,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",Red,U,352.14,594.83,535.35
276,14,FR-R72R-52,"ML Road Frame - Red, 52",ML Road Frame,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",Red,U,352.14,594.83,535.35
277,14,FR-R72R-58,"ML Road Frame - Red, 58",ML Road Frame,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",Red,U,352.14,594.83,535.35
278,14,FR-R72R-60,"ML Road Frame - Red, 60",ML Road Frame,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",Red,U,352.14,594.83,535.35
279,14,FR-R38B-44,"LL Road Frame - Black, 44",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Black,U,176.2,297.63,267.87
282,14,FR-R38B-48,"LL Road Frame - Black, 48",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Black,U,176.2,297.63,267.87
285,14,FR-R38B-52,"LL Road Frame - Black, 52",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Black,U,176.2,297.63,267.87
288,12,FR-M94S-42,"HL Mountain Frame - Silver, 42",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Silver,U,623.84,1204.32,1083.89
291,12,FR-M94S-44,"HL Mountain Frame - Silver, 44",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Silver,U,706.81,1364.5,1228.05
292,12,FR-M94S-52,"HL Mountain Frame - Silver, 48",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Silver,U,706.81,1364.5,1228.05
293,12,FR-M94S-46,"HL Mountain Frame - Silver, 46",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Silver,U,623.84,1204.32,1083.89
296,12,FR-M94B-42,"HL Mountain Frame - Black, 42",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Black,U,617.03,1191.17,1072.06
299,12,FR-M94B-44,"HL Mountain Frame - Black, 44",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Black,U,699.09,1349.6,1214.64
300,12,FR-M94B-48,"HL Mountain Frame - Black, 48",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Black,U,699.09,1349.6,1214.64
301,12,FR-M94B-46,"HL Mountain Frame - Black, 46",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Black,U,617.03,1191.17,1072.06
304,12,FR-M94B-38,"HL Mountain Frame - Black, 38",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Black,U,617.03,1191.17,1072.06
307,12,FR-M94S-38,"HL Mountain Frame - Silver, 38",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Silver,U,623.84,1204.32,1083.89
310,2,BK-R93R-62,"Road-150 Red, 62",Road-150,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",Red,U,2171.29,3578.27,3220.44
311,2,BK-R93R-44,"Road-150 Red, 44",Road-150,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",Red,U,2171.29,3578.27,3220.44
312,2,BK-R93R-48,"Road-150 Red, 48",Road-150,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",Red,U,2171.29,3578.27,3220.44
313,2,BK-R93R-52,"Road-150 Red, 52",Road-150,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",Red,U,2171.29,3578.27,3220.44
314,2,BK-R93R-56,"Road-150 Red, 56",Road-150,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",Red,U,2171.29,3578.27,3220.44
315,2,BK-R68R-58,"Road-450 Red, 58",Road-450,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.",Red,U,884.71,1457.99,1312.19
316,2,BK-R68R-60,"Road-450 Red, 60",Road-450,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.",Red,U,884.71,1457.99,1312.19
317,2,BK-R68R-44,"Road-450 Red, 44",Road-450,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.",Red,U,884.71,1457.99,1312.19
318,2,BK-R68R-48,"Road-450 Red, 48",Road-450,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.",Red,U,884.71,1457.99,1312.19
319,2,BK-R68R-52,"Road-450 Red, 52",Road-450,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.",Red,U,884.71,1457.99,1312.19
320,2,BK-R50R-58,"Road-650 Red, 58",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Red,U,413.15,699.1,629.19
322,2,BK-R50R-60,"Road-650 Red, 60",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Red,U,413.15,699.1,629.19
324,2,BK-R50R-62,"Road-650 Red, 62",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Red,U,413.15,699.1,629.19
326,2,BK-R50R-44,"Road-650 Red, 44",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Red,U,413.15,699.1,629.19
328,2,BK-R50R-48,"Road-650 Red, 48",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Red,U,413.15,699.1,629.19
330,2,BK-R50R-52,"Road-650 Red, 52",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Red,U,413.15,699.1,629.19
332,2,BK-R50B-58,"Road-650 Black, 58",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Black,U,413.15,699.1,629.19
334,2,BK-R50B-60,"Road-650 Black, 60",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Black,U,413.15,699.1,629.19
336,2,BK-R50B-62,"Road-650 Black, 62",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Black,U,413.15,699.1,629.19
338,2,BK-R50B-44,"Road-650 Black, 44",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Black,U,413.15,699.1,629.19
340,2,BK-R50B-48,"Road-650 Black, 48",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Black,U,413.15,699.1,629.19
342,2,BK-R50B-52,"Road-650 Black, 52",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Black,U,413.15,699.1,629.19
344,1,BK-M82S-38,"Mountain-100 Silver, 38",Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",Silver,U,1912.15,3399.99,3059.99
345,1,BK-M82S-42,"Mountain-100 Silver, 42",Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",Silver,U,1912.15,3399.99,3059.99
346,1,BK-M82S-44,"Mountain-100 Silver, 44",Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",Silver,U,1912.15,3399.99,3059.99
347,1,BK-M82S-48,"Mountain-100 Silver, 48",Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",Silver,U,1912.15,3399.99,3059.99
348,1,BK-M82B-38,"Mountain-100 Black, 38",Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",Black,U,1898.09,3374.99,3037.49
349,1,BK-M82B-42,"Mountain-100 Black, 42",Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",Black,U,1898.09,3374.99,3037.49
350,1,BK-M82B-44,"Mountain-100 Black, 44",Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",Black,U,1898.09,3374.99,3037.49
351,1,BK-M82B-48,"Mountain-100 Black, 48",Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",Black,U,1898.09,3374.99,3037.49
352,1,BK-M68S-38,"Mountain-200 Silver, 38",Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Silver,U,1117.86,2071.42,1864.28
354,1,BK-M68S-42,"Mountain-200 Silver, 42",Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Silver,U,1117.86,2071.42,1864.28
356,1,BK-M68S-46,"Mountain-200 Silver, 46",Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Silver,U,1117.86,2071.42,1864.28
358,1,BK-M68B-38,"Mountain-200 Black, 38",Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Black,U,1105.81,2049.1,1844.19
360,1,BK-M68B-42,"Mountain-200 Black, 42",Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Black,U,1105.81,2049.1,1844.19
362,1,BK-M68B-46,"Mountain-200 Black, 46",Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Black,U,1105.81,2049.1,1844.19
364,1,BK-M47B-38,"Mountain-300 Black, 38",Mountain-300,For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.,Black,U,598.44,1079.99,971.99
365,1,BK-M47B-40,"Mountain-300 Black, 40",Mountain-300,For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.,Black,U,598.44,1079.99,971.99
366,1,BK-M47B-44,"Mountain-300 Black, 44",Mountain-300,For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.,Black,U,598.44,1079.99,971.99
367,1,BK-M47B-48,"Mountain-300 Black, 48",Mountain-300,For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.,Black,U,598.44,1079.99,971.99
368,2,BK-R89R-44,"Road-250 Red, 44",Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",Red,U,1518.79,2443.35,2199.02
369,2,BK-R89R-48,"Road-250 Red, 48",Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",Red,U,1518.79,2443.35,2199.02
370,2,BK-R89R-52,"Road-250 Red, 52",Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",Red,U,1518.79,2443.35,2199.02
371,2,BK-R89R-58,"Road-250 Red, 58",Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",Red,U,1320.68,2181.56,1963.41
373,2,BK-R89B-44,"Road-250 Black, 44",Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",Black,U,1320.68,2181.56,1963.41
375,2,BK-R89B-48,"Road-250 Black, 48",Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",Black,U,1320.68,2181.56,1963.41
377,2,BK-R89B-52,"Road-250 Black, 52",Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",Black,U,1320.68,2181.56,1963.41
379,2,BK-R89B-58,"Road-250 Black, 58",Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",Black,U,1320.68,2181.56,1963.41
381,2,BK-R64Y-38,"Road-550-W Yellow, 38",Road-550-W,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",Yellow,W,605.65,1000.44,900.39
383,2,BK-R64Y-40,"Road-550-W Yellow, 40",Road-550-W,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",Yellow,W,605.65,1000.44,900.39
385,2,BK-R64Y-42,"Road-550-W Yellow, 42",Road-550-W,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",Yellow,W,605.65,1000.44,900.39
387,2,BK-R64Y-44,"Road-550-W Yellow, 44",Road-550-W,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",Yellow,W,605.65,1000.44,900.39
389,2,BK-R64Y-48,"Road-550-W Yellow, 48",Road-550-W,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",Yellow,W,605.65,1000.44,900.39
391,10,FK-1639,LL Fork,LL Fork,Stout design absorbs shock and offers more precise steering.,,0,65.81,148.22,133.4
392,10,FK-5136,ML Fork,ML Fork,Composite road fork with an aluminum steerer tube.,,0,77.92,175.49,157.94
393,10,FK-9939,HL Fork,HL Fork,High-performance carbon road fork with curved legs.,,0,101.89,229.49,206.54
394,11,HS-0296,LL Headset,LL Headset,Threadless headset provides quality at an economical price.,,0,15.18,34.2,30.78
395,11,HS-2451,ML Headset,ML Headset,Sealed cartridge keeps dirt out.,,0,45.42,102.29,92.06
396,11,HS-3479,HL Headset,HL Headset,"High-quality 1"" threadless headset with a grease port for quick lubrication.",,0,55.38,124.73,112.26
397,4,HB-M243,LL Mountain Handlebars,LL Mountain Handlebars,All-purpose bar for on or off-road.,,0,17.98,40.49,36.44
399,4,HB-M763,ML Mountain Handlebars,ML Mountain Handlebars,Tough aluminum alloy bars for downhill.,,0,24.99,56.29,50.66
401,4,HB-M918,HL Mountain Handlebars,HL Mountain Handlebars,Flat bar strong enough for the pro circuit.,,0,48.55,109.34,98.4
403,4,HB-R504,LL Road Handlebars,LL Road Handlebars,Unique shape provides easier reach to the levers.,,0,17.98,40.49,36.44
405,4,HB-R720,ML Road Handlebars,ML Road Handlebars,Anatomically shaped aluminum tube bar will suit all riders.,,0,24.99,56.29,50.66
407,4,HB-R956,HL Road Handlebars,HL Road Handlebars,Designed for racers; high-end anatomically shaped bar from aluminum alloy.,,0,48.55,109.34,98.4
409,12,FR-M63B-38,"ML Mountain Frame - Black, 38",ML Mountain Frame-W,The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Men's version.,Black,U,185.82,348.76,313.88
410,17,FW-M423,LL Mountain Front Wheel,LL Mountain Front Wheel,Replacement mountain wheel for entry-level rider.,Black,0,26.97,60.74,54.67
411,17,FW-M762,ML Mountain Front Wheel,ML Mountain Front Wheel,Replacement mountain wheel for the casual to serious rider.,Black,0,92.81,209.02,188.12
412,17,FW-M928,HL Mountain Front Wheel,HL Mountain Front Wheel,High-performance mountain replacement wheel.,Black,0,133.3,300.21,270.19
413,17,FW-R623,LL Road Front Wheel,LL Road Front Wheel,Replacement road front wheel for entry-level cyclist.,Black,0,37.99,85.56,77.01
414,17,FW-R762,ML Road Front Wheel,ML Road Front Wheel,Sturdy alloy features a quick-release hub.,Black,0,110.28,248.38,223.55
415,17,FW-R820,HL Road Front Wheel,HL Road Front Wheel,Strong wheel with double-walled rim.,Black,0,146.55,330.06,297.05
416,17,FW-T905,Touring Front Wheel,Touring Front Wheel,Aerodynamic rims for smooth riding.,Black,0,96.8,218.01,196.21
417,14,FR-R72Y-38,"ML Road Frame-W - Yellow, 38",ML Road Frame-W,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.",Yellow,W,300.12,540.75,486.68
419,17,RW-M423,LL Mountain Rear Wheel,LL Mountain Rear Wheel,Replacement mountain wheel for entry-level rider.,Black,0,38.96,87.74,78.97
420,17,RW-M762,ML Mountain Rear Wheel,ML Mountain Rear Wheel,Replacement mountain wheel for the casual to serious rider.,Black,0,104.8,236.02,212.42
421,17,RW-M928,HL Mountain Rear Wheel,HL Mountain Rear Wheel,High-performance mountain replacement wheel.,Black,0,145.28,327.21,294.49
422,17,RW-R623,LL Road Rear Wheel,LL Road Rear Wheel,Replacement road rear wheel for entry-level cyclist.,Black,0,49.98,112.56,101.31
423,17,RW-R762,ML Road Rear Wheel,ML Road Rear Wheel,Aluminum alloy rim with stainless steel spokes; built for speed.,Black,0,122.27,275.38,247.85
424,17,RW-R820,HL Road Rear Wheel,HL Road Rear Wheel,Strong rear wheel with double-walled rim.,Black,0,158.53,357.06,321.35
425,17,RW-T905,Touring Rear Wheel,Touring Rear Wheel,Excellent aerodynamic rims guarantee a smooth ride.,Black,0,108.78,245.01,220.51
426,12,FR-M63B-40,"ML Mountain Frame - Black, 40",ML Mountain Frame,The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Women's version.,Black,U,185.82,348.76,313.88
427,12,FR-M63B-44,"ML Mountain Frame - Black, 44",ML Mountain Frame,The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Women's version.,Black,U,185.82,348.76,313.88
428,12,FR-M63B-48,"ML Mountain Frame - Black, 48",ML Mountain Frame,The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Women's version.,Black,U,185.82,348.76,313.88
429,14,FR-R72Y-40,"ML Road Frame-W - Yellow, 40",ML Road Frame-W,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.",Yellow,W,300.12,540.75,486.68
431,14,FR-R72Y-42,"ML Road Frame-W - Yellow, 42",ML Road Frame-W,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.",Yellow,W,300.12,540.75,486.68
433,14,FR-R72Y-44,"ML Road Frame-W - Yellow, 44",ML Road Frame-W,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.",Yellow,W,300.12,540.75,486.68
435,14,FR-R72Y-48,"ML Road Frame-W - Yellow, 48",ML Road Frame-W,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.",Yellow,W,300.12,540.75,486.68
437,14,FR-R92B-62,"HL Road Frame - Black, 62",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Black,U,722.26,1301.36,1171.23
439,14,FR-R92B-44,"HL Road Frame - Black, 44",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Black,U,722.26,1301.36,1171.23
441,14,FR-R92B-48,"HL Road Frame - Black, 48",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Black,U,722.26,1301.36,1171.23
443,14,FR-R92B-52,"HL Road Frame - Black, 52",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Black,U,722.26,1301.36,1171.23
445,22,SH-M897-S,"Men's Sports Shorts, S",Men's Sports Shorts,Men's 8-panel racing shorts - lycra with an elastic waistband and leg grippers.,Black,M,24.75,59.99,53.99
446,35,PA-T100,"Touring-Panniers, Large",Touring-Panniers,"Durable, water-proof nylon construction with easy access. Large enough for weekend trips.",Grey,0,51.56,125.0,112.5
447,34,LO-C100,Cable Lock,Cable Lock,"Wraps to fit front and rear tires, carrier and 2 keys included.",,0,10.31,25.0,22.5
448,36,PU-0452,Minipump,Minipump,Designed for convenience. Fits in your pocket. Aluminum barrel. 160psi rated.,,0,8.25,19.99,17.99
449,36,PU-M044,Mountain Pump,Mountain Pump,Simple and light-weight. Emergency patches stored in handle.,,0,10.31,24.99,22.49
450,33,LT-T990,Taillights - Battery-Powered,Taillight,Affordable light for safe night riding - uses 3 AAA batteries,,0,5.77,13.99,12.59
451,33,LT-H902,Headlights - Dual-Beam,Headlights - Dual-Beam,Rechargeable dual-beam headlight.,,0,14.43,34.99,31.49
452,33,LT-H903,Headlights - Weatherproof,Headlights - Weatherproof,Rugged weatherproof headlight.,,0,18.56,44.99,40.49
453,22,SH-M897-M,"Men's Sports Shorts, M",Men's Sports Shorts,Men's 8-panel racing shorts - lycra with an elastic waistband and leg grippers.,Black,M,24.75,59.99,53.99
